year,city,country,avg_temp,Jaipur temperature 12 year MA
1796,Jaipur,India,25.25,
1797,Jaipur,India,26.77,
1798,Jaipur,India,24.46,
1799,Jaipur,India,25.51,
1800,Jaipur,India,25.44,
1801,Jaipur,India,24.38,
1802,Jaipur,India,25.87,
1803,Jaipur,India,25.62,
1804,Jaipur,India,25.93,
1805,Jaipur,India,25.54,
1806,Jaipur,India,25.45,
1807,Jaipur,India,25.09,25.44
1808,Jaipur,India,,25.46
1809,Jaipur,India,,25.33
1810,Jaipur,India,,25.43
1811,Jaipur,India,,25.42
1812,Jaipur,India,,25.41
1813,Jaipur,India,24.79,25.47
1814,Jaipur,India,23.95,25.20
1815,Jaipur,India,24.32,25.01
1816,Jaipur,India,23.91,24.72
1817,Jaipur,India,24.09,24.51
1818,Jaipur,India,24.62,24.40
1819,Jaipur,India,24.17,24.26
1820,Jaipur,India,24.37,24.28
1821,Jaipur,India,25.04,24.36
1822,Jaipur,India,25.13,24.44
1823,Jaipur,India,24.88,24.48
1824,Jaipur,India,25.54,24.57
1825,Jaipur,India,25.34,24.61
1826,Jaipur,India,25.35,24.73
1827,Jaipur,India,25.57,24.83
1828,Jaipur,India,25.13,24.94
1829,Jaipur,India,24.94,25.01
1830,Jaipur,India,25.28,25.06
1831,Jaipur,India,24.68,25.10
1832,Jaipur,India,24.84,25.14
1833,Jaipur,India,25.07,25.15
1834,Jaipur,India,25.07,25.14
1835,Jaipur,India,24.17,25.08
1836,Jaipur,India,24.76,25.02
1837,Jaipur,India,24.64,24.96
1838,Jaipur,India,24.63,24.90
1839,Jaipur,India,24.74,24.83
1840,Jaipur,India,24.92,24.81
1841,Jaipur,India,24.69,24.79
1842,Jaipur,India,25,24.77
1843,Jaipur,India,24.93,24.79
1844,Jaipur,India,24.6,24.77
1845,Jaipur,India,24.84,24.75
1846,Jaipur,India,25.42,24.78
1847,Jaipur,India,24.89,24.84
1848,Jaipur,India,24.74,24.84
1849,Jaipur,India,24.75,24.85
1850,Jaipur,India,24.99,24.88
1851,Jaipur,India,24.99,24.90
1852,Jaipur,India,24.92,24.90
1853,Jaipur,India,25.12,24.93
1854,Jaipur,India,25.25,24.95
1855,Jaipur,India,25.41,24.99
1856,Jaipur,India,24.06,24.95
1857,Jaipur,India,24.52,24.92
1858,Jaipur,India,,24.88
1859,Jaipur,India,,24.88
1860,Jaipur,India,,24.89
1861,Jaipur,India,,24.91
1862,Jaipur,India,,24.90
1863,Jaipur,India,,24.88
1864,Jaipur,India,,24.87
1865,Jaipur,India,,24.81
1866,Jaipur,India,,24.66
1867,Jaipur,India,,24.29
1868,Jaipur,India,,24.52
1869,Jaipur,India,24.25,24.25
1870,Jaipur,India,25.11,24.68
1871,Jaipur,India,25.1,24.82
1872,Jaipur,India,25.14,24.90
1873,Jaipur,India,25.26,24.97
1874,Jaipur,India,24.46,24.89
1875,Jaipur,India,25.56,24.98
1876,Jaipur,India,25.16,25.01
1877,Jaipur,India,25.38,25.05
1878,Jaipur,India,25.72,25.11
1879,Jaipur,India,25.04,25.11
1880,Jaipur,India,25.5,25.14
1881,Jaipur,India,25.27,25.23
1882,Jaipur,India,25.07,25.22
1883,Jaipur,India,24.8,25.20
